name,create_ms,activate_ms,final_state
bench-sub-0,20.747,345.194,Active
bench-sub-1,14.922,128.131,Active
bench-sub-2,22.664,614.425,Active
bench-sub-3,18.660,233.021,Active
bench-sub-4,21.280,434.594,Active
bench-sub-5,23.558,345.393,Active
bench-sub-6,24.420,345.431,Active
bench-sub-7,20.981,242.059,Active
bench-sub-8,19.917,241.898,Active
bench-sub-9,20.820,130.797,Active
bench-sub-10,25.385,520.506,Active
bench-sub-11,24.560,621.155,Active
bench-sub-12,14.902,128.007,Active
bench-sub-13,24.471,351.767,Active
bench-sub-14,24.894,442.407,Active
bench-sub-15,18.337,332.297,Active
bench-sub-16,20.541,423.113,Active
bench-sub-17,22.108,365.836,Active
bench-sub-18,21.862,433.031,Active
bench-sub-19,22.686,245.660,Active
bench-sub-20,25.467,621.126,Active
bench-sub-21,21.340,236.729,Active
bench-sub-22,21.542,238.998,Active
bench-sub-23,22.420,241.927,Active
bench-sub-24,22.574,620.897,Active
bench-sub-25,24.474,620.902,Active
bench-sub-26,24.966,621.156,Active
bench-sub-27,24.525,620.677,Active
bench-sub-28,21.955,242.258,Active
bench-sub-29,19.643,242.365,Active
bench-sub-30,23.186,251.677,Active
bench-sub-31,22.025,236.867,Active
bench-sub-32,18.412,237.415,Active
bench-sub-33,21.296,238.907,Active
bench-sub-34,21.524,250.864,Active
bench-sub-35,23.318,613.827,Active
bench-sub-36,19.841,241.939,Active
bench-sub-37,14.810,127.205,Active
bench-sub-38,18.901,362.073,Active
bench-sub-39,25.876,626.732,Active
bench-sub-40,21.155,245.452,Active
bench-sub-41,24.103,620.060,Active
bench-sub-42,24.952,645.953,Active
bench-sub-43,19.826,252.149,Active
bench-sub-44,24.280,645.449,Active
bench-sub-45,24.415,515.389,Active
bench-sub-46,22.766,613.598,Active
bench-sub-47,19.835,348.194,Active
bench-sub-48,24.129,348.637,Active
bench-sub-49,24.322,620.745,Active
bench-sub-50,7.828,598.580,Active
bench-sub-51,7.112,609.496,Active
bench-sub-52,7.044,597.908,Active
bench-sub-53,4.250,590.155,Active
bench-sub-54,8.978,492.818,Active
bench-sub-55,13.309,500.892,Active
bench-sub-56,10.754,489.253,Active
bench-sub-57,12.719,489.613,Active
bench-sub-58,11.055,488.055,Active
bench-sub-59,11.012,494.296,Active
bench-sub-60,8.986,491.572,Active
bench-sub-61,7.962,484.074,Active
bench-sub-62,8.024,485.072,Active
bench-sub-63,8.865,483.946,Active
bench-sub-64,8.571,481.367,Active
bench-sub-65,15.309,496.826,Active
bench-sub-66,11.909,495.558,Active
bench-sub-67,12.179,495.510,Active
bench-sub-68,10.992,486.374,Active
bench-sub-69,16.711,485.875,Active
bench-sub-70,12.783,485.144,Active
bench-sub-71,2.468,421.507,Active
bench-sub-72,3.103,483.816,Active
bench-sub-73,3.585,483.719,Active
bench-sub-74,3.291,478.329,Active
bench-sub-75,3.687,486.962,Active
bench-sub-76,5.373,477.893,Active
bench-sub-77,72.099,489.243,Active
bench-sub-78,64.073,492.942,Active
bench-sub-79,60.304,490.454,Active
bench-sub-80,16.730,433.499,Active
bench-sub-81,5.728,423.166,Active
bench-sub-82,7.923,420.705,Active
bench-sub-83,69.962,487.642,Active
bench-sub-84,2.383,426.257,Active
bench-sub-85,2.112,421.557,Active
bench-sub-86,3.394,415.029,Active
bench-sub-87,3.204,414.589,Active
bench-sub-88,3.166,418.901,Active
bench-sub-89,6.694,427.868,Active
bench-sub-90,6.751,426.534,Active
bench-sub-91,6.495,419.317,Active
bench-sub-92,6.555,420.187,Active
bench-sub-93,6.334,421.522,Active
bench-sub-94,6.276,429.142,Active
bench-sub-95,6.035,424.271,Active
bench-sub-96,6.213,419.653,Active
bench-sub-97,2.130,423.404,Active
bench-sub-98,2.592,417.141,Active
bench-sub-99,2.038,415.527,Active
bench-sub-100,4.921,322.778,Active
bench-sub-101,3.500,314.463,Active
bench-sub-102,11.812,328.993,Active
bench-sub-103,11.765,323.929,Active
bench-sub-104,11.669,328.578,Active
bench-sub-105,11.221,328.405,Active
bench-sub-106,11.374,426.216,Active
bench-sub-107,11.209,426.073,Active
bench-sub-108,10.624,428.999,Active
bench-sub-109,10.573,329.035,Active
bench-sub-110,10.552,327.136,Active
bench-sub-111,1.895,414.970,Active
bench-sub-112,7.727,430.300,Active
bench-sub-113,10.341,426.481,Active
bench-sub-114,10.355,426.411,Active
bench-sub-115,10.199,428.869,Active
bench-sub-116,10.051,428.850,Active
bench-sub-117,10.012,426.738,Active
bench-sub-118,8.424,429.963,Active
bench-sub-119,11.977,427.497,Active
bench-sub-120,11.950,426.612,Active
bench-sub-121,3.916,419.733,Active
bench-sub-122,1.851,409.407,Active
bench-sub-123,1.630,409.515,Active
bench-sub-124,2.102,414.170,Active
bench-sub-125,2.499,413.574,Active
bench-sub-126,3.040,316.829,Active
bench-sub-127,1.344,413.238,Active
bench-sub-128,3.541,318.378,Active
bench-sub-129,2.847,313.887,Active
bench-sub-130,2.529,460.692,Active
bench-sub-131,2.629,458.823,Active
bench-sub-132,2.544,460.808,Active
bench-sub-133,2.327,307.433,Active
bench-sub-134,2.355,312.468,Active
bench-sub-135,2.459,309.313,Active
bench-sub-136,2.551,411.490,Active
bench-sub-137,2.550,411.279,Active
bench-sub-138,2.405,413.385,Active
bench-sub-139,1.541,409.148,Active
bench-sub-140,1.777,414.139,Active
bench-sub-141,2.728,413.546,Active
bench-sub-142,3.426,419.691,Active
bench-sub-143,5.630,419.312,Active
bench-sub-144,5.568,426.135,Active
bench-sub-145,3.330,420.128,Active
bench-sub-146,3.793,422.581,Active
bench-sub-147,3.133,421.771,Active
bench-sub-148,4.422,420.609,Active
bench-sub-149,4.219,419.985,Active
bench-sub-150,3.881,417.603,Active
bench-sub-151,2.667,415.954,Active
bench-sub-152,3.815,420.319,Active
bench-sub-153,3.537,522.123,Active
bench-sub-154,3.278,522.003,Active
bench-sub-155,1.974,520.731,Active
bench-sub-156,4.675,463.387,Active
bench-sub-157,9.000,461.846,Active
bench-sub-158,1.936,413.409,Active
bench-sub-159,2.106,424.403,Active
bench-sub-160,2.323,424.371,Active
bench-sub-161,2.256,424.477,Active
bench-sub-162,1.415,420.915,Active
bench-sub-163,4.715,419.615,Active
bench-sub-164,5.168,521.740,Active
bench-sub-165,4.722,419.659,Active
bench-sub-166,4.793,520.547,Active
bench-sub-167,3.812,518.974,Active
bench-sub-168,4.656,461.404,Active
bench-sub-169,3.372,458.662,Active
bench-sub-170,2.537,458.023,Active
bench-sub-171,2.245,458.645,Active
bench-sub-172,2.390,458.671,Active
bench-sub-173,2.378,454.407,Active
bench-sub-174,2.769,556.593,Active
bench-sub-175,2.087,520.732,Active
bench-sub-176,2.715,524.986,Active
bench-sub-177,5.139,523.080,Active
bench-sub-178,3.098,518.638,Active
bench-sub-179,2.376,518.203,Active
bench-sub-180,1.801,515.965,Active
bench-sub-181,4.853,526.041,Active
bench-sub-182,4.516,525.564,Active
bench-sub-183,8.563,436.998,Active
bench-sub-184,12.035,435.153,Active
bench-sub-185,11.756,434.737,Active
bench-sub-186,1.807,321.136,Active
bench-sub-187,2.069,320.993,Active
bench-sub-188,1.560,314.695,Active
bench-sub-189,2.476,314.105,Active
bench-sub-190,2.549,312.497,Active
bench-sub-191,2.086,311.509,Active
bench-sub-192,8.983,323.008,Active
bench-sub-193,5.709,318.112,Active
bench-sub-194,6.622,322.309,Active
bench-sub-195,6.788,319.906,Active
bench-sub-196,7.292,421.072,Active
bench-sub-197,5.007,318.059,Active
bench-sub-198,6.996,420.691,Active
bench-sub-199,7.034,420.499,Active
