t_ms,total,active,pending
12998,10,10,0
13603,5,5,0
14174,30,30,0
14755,30,30,0
15323,30,30,0
15899,30,30,0
16464,30,30,0
17041,30,30,0
17626,30,30,0
18202,30,30,0
18787,30,30,0
19370,30,30,0
19940,30,30,0
20522,30,30,0
21095,30,30,0
21677,30,30,0
22270,30,30,0
22868,35,30,5
23512,35,30,5
24093,40,30,10
24683,40,30,10
25263,45,30,15
25855,45,30,15
26429,50,30,20
27001,51,30,21
27577,55,30,25
28163,60,30,30
28763,60,30,30
29337,60,30,30
29913,60,30,30
30494,60,30,30
31073,60,30,30
31649,60,30,30
32238,60,30,30
32842,60,30,30
33434,60,30,30
34014,60,30,30
34591,60,30,30
35198,60,30,30
35774,60,30,30
36355,60,30,30
36938,60,30,30
37520,60,30,30
38099,60,30,30
38683,60,30,30
39266,60,30,30
39866,60,30,30
40448,60,30,30
41059,60,30,30
41640,60,31,29
42226,60,60,0
42818,60,60,0
43401,60,60,0
43976,60,60,0
44569,60,60,0
45174,60,60,0
45767,60,60,0
46372,60,60,0
46977,60,60,0
47578,60,60,0
48161,60,60,0
48762,60,60,0
49340,60,60,0
49937,60,60,0
50526,60,60,0
51116,60,60,0
51706,60,60,0
52296,60,60,0
52900,60,60,0
53514,60,60,0
54103,60,60,0
54692,60,60,0
55302,60,60,0
55894,60,60,0
56487,60,60,0
57083,60,60,0
57665,60,60,0
58260,60,60,0
58857,60,60,0
59446,60,60,0
