t_s,replicas,ready,cpu_pct,mem_pct
0,1,1,3,10
3,1,1,3,10
5,1,1,3,10
7,1,1,3,10
9,1,1,3,10
11,1,1,3,10
13,1,1,3,10
16,1,1,3,10
18,1,1,3,10
20,1,1,3,10
22,1,1,3,10
24,1,1,3,10
27,1,1,3,10
29,1,1,3,10
31,1,1,3,10
33,1,1,3,10
36,1,1,3,10
38,1,1,3,10
40,1,1,3,10
42,1,1,3,10
45,1,1,3,10
47,1,1,3,10
49,1,1,3,10
51,1,1,3,10
53,1,1,3,10
55,1,1,3,10
58,1,1,3,10
60,1,1,3,10
62,1,1,3,10
64,1,1,3,10
66,1,1,3,10
69,1,1,3,10
71,1,1,3,10
73,1,1,3,10
75,1,1,3,10
78,1,1,3,10
80,1,1,3,10
82,1,1,3,10
84,1,1,3,10
86,1,1,225,20
89,1,1,225,20
91,1,1,225,20
93,1,1,225,20
95,1,1,225,20
97,1,1,225,20
100,1,1,225,20
102,3,3,225,20
104,3,3,225,20
106,3,3,225,20
109,3,3,225,20
111,3,3,225,20
113,3,3,225,20
115,3,3,225,20
117,3,3,225,20
120,3,3,225,20
122,3,3,225,20
124,3,3,225,20
126,3,3,225,20
129,3,3,225,20
131,3,3,225,20
133,3,3,225,20
135,3,3,225,20
138,3,3,225,20
140,3,3,225,20
142,3,3,225,20
145,3,3,225,20
147,3,3,201,11
149,3,3,201,11
151,3,3,201,11
154,3,3,201,11
156,3,3,201,11
158,3,3,201,11
161,3,3,201,11
163,3,3,201,11
165,3,3,201,11
168,3,3,201,11
170,3,3,201,11
172,3,3,201,11
174,3,3,201,11
177,3,3,201,11
180,3,3,201,11
183,3,3,201,11
185,3,3,201,11
187,3,3,201,11
190,3,3,201,11
192,3,3,201,11
195,3,3,201,11
197,3,3,201,11
199,3,3,201,11
202,3,3,201,11
204,3,3,201,11
206,3,3,201,11
209,3,3,58,11
211,3,3,58,11
213,3,3,58,11
215,3,3,58,11
218,3,3,58,11
220,3,3,58,11
223,3,3,58,11
225,3,3,58,11
227,3,3,58,11
230,3,3,58,11
232,3,3,58,11
234,3,3,58,11
236,3,3,58,11
239,3,3,58,11
241,3,3,58,11
243,3,3,58,11
245,3,3,58,11
247,3,3,58,11
249,3,3,58,11
252,3,3,58,11
254,3,3,58,11
256,3,3,58,11
258,3,3,58,11
260,3,3,58,11
263,3,3,58,11
265,3,3,58,11
267,3,3,58,11
269,3,3,34,11
271,3,3,34,11
273,3,3,34,11
276,3,3,34,11
278,3,3,34,11
280,3,3,34,11
282,3,3,34,11
