epoch_s,pod,cpu_m,mem_Mi
1781194332,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194342,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194353,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194363,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194373,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194383,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194393,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194404,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194414,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194424,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194434,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194444,kube-billing-controller-manager-69ccd74f55-htd5l,4,34
1781194455,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194465,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194475,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194485,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194495,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194505,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194516,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194526,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194536,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194546,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194557,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194567,kube-billing-controller-manager-69ccd74f55-htd5l,3,34
1781194577,kube-billing-controller-manager-69ccd74f55-htd5l,178,45
1781194587,kube-billing-controller-manager-69ccd74f55-htd5l,178,45
1781194598,kube-billing-controller-manager-69ccd74f55-htd5l,178,45
1781194608,kube-billing-controller-manager-69ccd74f55-htd5l,178,45
1781194619,kube-billing-controller-manager-69ccd74f55-htd5l,178,45
1781194630,kube-billing-controller-manager-69ccd74f55-htd5l,178,45
1781194640,kube-billing-controller-manager-69ccd74f55-htd5l,159,34
1781194640,kube-billing-controller-manager-69ccd74f55-vpdkt,6,16
1781194640,kube-billing-controller-manager-69ccd74f55-zb9wh,5,16
1781194651,kube-billing-controller-manager-69ccd74f55-htd5l,159,34
1781194651,kube-billing-controller-manager-69ccd74f55-vpdkt,6,16
1781194651,kube-billing-controller-manager-69ccd74f55-zb9wh,5,16
1781194661,kube-billing-controller-manager-69ccd74f55-htd5l,159,34
1781194661,kube-billing-controller-manager-69ccd74f55-vpdkt,6,16
1781194661,kube-billing-controller-manager-69ccd74f55-zb9wh,5,16
1781194672,kube-billing-controller-manager-69ccd74f55-htd5l,159,34
1781194672,kube-billing-controller-manager-69ccd74f55-vpdkt,6,16
1781194672,kube-billing-controller-manager-69ccd74f55-zb9wh,5,16
1781194682,kube-billing-controller-manager-69ccd74f55-htd5l,159,34
1781194682,kube-billing-controller-manager-69ccd74f55-vpdkt,6,16
1781194682,kube-billing-controller-manager-69ccd74f55-zb9wh,5,16
1781194693,kube-billing-controller-manager-69ccd74f55-htd5l,177,40
1781194693,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194693,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
1781194703,kube-billing-controller-manager-69ccd74f55-htd5l,177,40
1781194703,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194703,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
1781194713,kube-billing-controller-manager-69ccd74f55-htd5l,177,40
1781194713,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194713,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
1781194724,kube-billing-controller-manager-69ccd74f55-htd5l,177,40
1781194724,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194724,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
1781194734,kube-billing-controller-manager-69ccd74f55-htd5l,177,40
1781194734,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194734,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
1781194745,kube-billing-controller-manager-69ccd74f55-htd5l,177,40
1781194745,kube-billing-controller-manager-69ccd74f55-vpdkt,6,13
1781194745,kube-billing-controller-manager-69ccd74f55-zb9wh,6,13
1781194755,kube-billing-controller-manager-69ccd74f55-htd5l,138,42
1781194755,kube-billing-controller-manager-69ccd74f55-vpdkt,4,13
1781194755,kube-billing-controller-manager-69ccd74f55-zb9wh,4,13
1781194765,kube-billing-controller-manager-69ccd74f55-htd5l,138,42
1781194765,kube-billing-controller-manager-69ccd74f55-vpdkt,4,13
1781194765,kube-billing-controller-manager-69ccd74f55-zb9wh,4,13
1781194776,kube-billing-controller-manager-69ccd74f55-htd5l,138,42
1781194776,kube-billing-controller-manager-69ccd74f55-vpdkt,4,13
1781194776,kube-billing-controller-manager-69ccd74f55-zb9wh,4,13
1781194786,kube-billing-controller-manager-69ccd74f55-htd5l,138,42
1781194786,kube-billing-controller-manager-69ccd74f55-vpdkt,4,13
1781194786,kube-billing-controller-manager-69ccd74f55-zb9wh,4,13
